150 4 0 149
0 44 31 24 30 | (17,19),(53,11),(78,11),(98,15),(145,4)
1 20 5 26 27 | (2,10),(70,7),(77,5)
2 42 12 42 22 | (140,7)
3 18 11 33 10 | (32,1),(43,3),(67,4),(96,4),(140,9)
4 28 14 36 7 | (52,2),(56,7)
5 21 27 34 42 | (60,7),(72,15)
6 8 32 5 32 | (49,9),(61,12)
7 48 6 50 13 | (8,8),(50,9),(54,10),(55,18),(147,12)
8 32 30 23 42 | (41,4),(50,20),(70,16),(93,10),(104,11),(110,19),(124,16)
9 39 42 50 5 | (34,1),(81,10),(127,6),(141,1)
10 29 25 39 41 | (25,13),(56,1),(62,1),(89,1),(120,8),(133,11)
11 29 34 16 42 | (21,5),(27,14),(51,8)
12 39 36 31 12 | (17,5),(40,16),(63,11),(72,12),(102,8),(125,11)
13 46 44 38 9 | (46,19),(136,11),(137,3)
14 15 10 14 28 | (29,13),(143,1)
15 38 35 39 47 | (16,13),(73,7),(74,19),(89,6),(119,3)
16 17 27 17 36 | (53,7),(127,17),(144,11)
17 12 39 11 13 | (130,12)
18 6 42 3 8 | (31,13),(35,18),(149,13)
19 32 40 18 42 | (81,15),(94,10)
20 44 4 11 1 | (25,13),(48,17),(59,13),(131,3)
21 26 40 9 40 | (30,10),(33,13),(38,20),(59,3),(116,14),(149,14)
22 50 26 31 17 | (111,19),(127,16)
23 6 37 10 45 | (59,8)
24 6 31 4 24 | (31,4),(57,5),(140,11)
25 27 13 45 13 | (27,9),(35,10),(41,7),(75,11),(78,7),(103,19),(113,3),(123,11)
26 23 15 10 34 | (63,15),(97,17),(124,8)
27 6 18 12 27 | (45,11),(52,20),(82,2),(117,14),(133,6),(144,19)
28 6 37 14 7 | (45,7),(82,13)
29 27 48 22 42 | (58,18),(77,20),(105,19),(116,12)
30 33 36 28 8 | (34,20),(37,6),(51,10),(64,11),(117,13)
31 35 44 42 46 | (36,2),(45,11),(50,3),(122,5)
32 35 22 30 25 | (75,2),(79,19),(89,10),(138,5),(149,16)
33 11 11 43 9 | (45,11),(60,20),(100,10),(144,7)
34 27 22 33 12 | (135,3),(145,6)
35 2 32 22 49 | (44,11),(76,8),(89,15),(101,10),(134,10),(143,14)
36 49 12 49 49 | (53,5),(135,4),(139,20)
37 42 39 48 47 | (46,12),(55,2),(59,9),(60,14),(81,7),(107,14),(116,2)
38 14 45 12 35 | 
39 36 8 46 11 | (43,14),(65,7),(114,9),(138,12),(147,9)
40 44 41 38 27 | (47,13),(56,10),(86,4),(109,19)
41 48 7 42 45 | (76,3)
42 20 32 19 15 | (47,8),(128,8)
43 7 10 19 20 | (93,20),(139,18)
44 2 1 5 28 | (73,17),(82,11),(87,11),(92,14),(116,4),(118,7),(136,2),(142,15)
45 2 2 11 5 | (69,1),(124,12),(149,17)
46 12 27 30 21 | (65,17),(144,4)
47 22 7 41 11 | (48,18),(51,7),(52,8),(86,2),(107,7),(113,11),(125,12),(129,18)
48 17 20 25 5 | (67,3),(87,11),(93,17),(109,6),(141,18)
49 20 12 23 47 | (70,14),(94,5),(118,12)
50 17 1 16 36 | (57,15),(73,11)
51 15 34 28 2 | (55,9),(62,17),(91,18),(113,4),(127,20)
52 24 10 8 23 | (62,12),(80,3),(95,16),(97,16),(134,16)
53 5 5 42 34 | (69,2),(123,4),(140,9),(141,19)
54 35 40 7 14 | (79,2),(129,20)
55 45 18 45 39 | (57,4),(117,9),(135,20)
56 21 33 42 16 | (66,8),(73,3),(74,2),(77,11),(127,5)
57 3 17 15 3 | (72,12),(78,6),(94,13)
58 49 28 23 20 | (61,2),(71,15),(91,17),(104,2),(137,19),(146,1)
59 39 4 20 50 | 
60 43 27 31 43 | (68,13),(97,9),(108,17),(122,18)
61 27 5 11 15 | (77,6),(96,10)
62 35 8 38 7 | (131,11)
63 38 19 10 48 | (65,7),(69,20),(125,2)
64 40 21 38 23 | 
65 36 27 41 9 | (119,4),(138,18),(140,13)
66 12 29 46 44 | (68,1),(114,8),(137,11)
67 45 33 32 50 | 
68 43 26 44 39 | (81,19),(128,3)
69 2 32 33 45 | (93,9),(130,19)
70 48 14 38 23 | (109,7)
71 31 44 19 16 | (79,8)
72 17 41 17 18 | (81,2),(113,20)
73 6 22 20 19 | (117,8)
74 3 33 28 32 | (98,9)
75 45 20 20 38 | (84,6),(101,3),(112,19),(134,12),(135,10),(143,14),(144,14)
76 37 9 7 2 | (133,13)
77 8 32 8 1 | (86,20),(89,4),(119,12),(143,15)
78 28 16 34 6 | (82,9),(117,11)
79 36 34 15 10 | (149,3)
80 37 32 43 6 | (84,19)
81 10 32 13 26 | 
82 46 2 29 16 | (104,15),(127,18),(141,15)
83 49 47 21 22 | (138,9),(143,13)
84 32 38 7 9 | 
85 35 13 50 28 | 
86 32 35 48 7 | (101,5),(109,19),(115,19)
87 11 2 50 7 | 
88 9 39 17 16 | (117,16),(146,9)
89 17 25 20 40 | 
90 19 35 31 38 | (125,11)
91 6 19 22 8 | (98,15),(99,17),(103,3),(124,12),(138,15)
92 15 24 11 23 | (131,19)
93 30 8 1 29 | (109,5)
94 41 40 31 26 | (133,4)
95 31 50 38 43 | (103,14),(114,15)
96 32 49 50 27 | (109,20)
97 12 22 16 14 | (126,17)
98 50 38 7 45 | (127,16),(130,20),(146,11)
99 39 19 3 37 | (102,2)
100 5 40 43 26 | (138,16)
101 25 25 14 12 | (117,6),(125,4),(129,5),(130,19),(143,15)
102 35 45 36 46 | (117,6),(143,18)
103 50 37 35 36 | 
104 39 5 46 34 | 
105 46 25 40 5 | 
