50 4 0 49
0 29 8 11 21 | 
1 17 6 38 29 | (44,9)
2 41 9 21 23 | (9,6)
3 1 36 23 1 | (7,10),(34,20),(39,7)
4 40 20 3 18 | (29,18)
5 8 9 29 44 | (8,15),(25,11),(28,6)
6 36 10 13 17 | (46,9)
7 1 41 31 27 | (32,10),(33,12)
8 16 14 31 43 | (43,17)
9 50 21 48 32 | (10,8),(11,5),(31,7)
10 48 7 2 43 | (24,19),(25,1)
11 28 30 12 38 | 
12 39 23 27 39 | (46,19)
13 41 37 21 12 | 
14 40 31 31 17 | (43,2)
15 12 26 43 11 | (26,11)
16 20 32 43 43 | 
17 44 31 23 49 | (20,2)
18 1 14 10 33 | 
19 23 29 39 21 | 
20 4 34 37 45 | (26,17),(39,11)
21 4 25 14 43 | (47,1)
22 14 20 4 3 | 
23 48 6 38 15 | (25,3)
24 1 10 12 41 | 
25 6 46 14 47 | 
26 32 26 27 30 | 
27 15 31 37 1 | 
28 18 7 16 34 | (31,6)
29 13 18 13 28 | (48,11)
30 41 44 45 8 | 
31 24 26 21 26 | (34,16)
32 45 3 15 18 | 
33 3 9 2 32 | (45,20)
34 18 14 35 42 | 
35 38 3 22 41 | 
36 42 3 23 32 | (39,8)
37 18 40 17 46 | (39,1)
38 37 1 18 5 | 
39 44 35 24 10 | 
40 12 34 11 32 | 
41 40 50 14 38 | 
42 37 24 19 19 | (49,11)
43 38 13 29 2 | 
44 20 18 21 35 | 
45 42 1 25 36 | (46,7)
46 18 16 4 42 | 
47 5 12 18 39 | 
48 25 27 17 35 | 
49 18 37 32 42 | 
